From	To	Species	Gene Name
13163	MGI:1197015	Mus musculus	Fas death domain-associated protein(Daxx)
21981	MGI:1336199	Mus musculus	protein phosphatase 1, regulatory (inhibitor) subunit 13B(Ppp1r13b)
224902	MGI:2146808	Mus musculus	scaffold attachment factor B2(Safb2)
81601	MGI:1932051	Mus musculus	K(lysine) acetyltransferase 5(Kat5)
12677	MGI:88401	Mus musculus	visual system homeobox 2(Vsx2)
54601	MGI:1891915	Mus musculus	forkhead box O4(Foxo4)
13560	MGI:109530	Mus musculus	E4F transcription factor 1(E4f1)
21380	MGI:98493	Mus musculus	T-box 1(Tbx1)
21386	MGI:98495	Mus musculus	T-box 3(Tbx3)
21387	MGI:102556	Mus musculus	T-box 4(Tbx4)
66464	MGI:1913714	Mus musculus	TATA-box binding protein associated factor 12(Taf12)
21384	MGI:1277234	Mus musculus	T-box 15(Tbx15)
21385	MGI:98494	Mus musculus	T-box 2(Tbx2)
21388	MGI:102541	Mus musculus	T-box 5(Tbx5)
21389	MGI:102539	Mus musculus	T-box 6(Tbx6)
58172	MGI:1931026	Mus musculus	SERTA domain containing 2(Sertad2)
13172	MGI:94867	Mus musculus	developing brain homeobox 1(Dbx1)
192285	MGI:2384756	Mus musculus	PHD finger protein 21A(Phf21a)
16658	MGI:104555	Mus musculus	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)(Mafb)
232791	MGI:2385261	Mus musculus	CCR4-NOT transcription complex, subunit 3(Cnot3)
13170	MGI:94866	Mus musculus	D site albumin promoter binding protein(Dbp)
13591	MGI:95275	Mus musculus	early B cell factor 1(Ebf1)
24136	MGI:1344407	Mus musculus	zinc finger E-box binding homeobox 2(Zeb2)
24135	MGI:1344427	Mus musculus	zinc finger protein 68(Zfp68)
15312	MGI:96120	Mus musculus	high mobility group nucleosomal binding domain 1(Hmgn1)
20473	MGI:102764	Mus musculus	sine oculis-related homeobox 3(Six3)
20474	MGI:106034	Mus musculus	sine oculis-related homeobox 4(Six4)
20204	MGI:98218	Mus musculus	paired related homeobox 2(Prrx2)
20471	MGI:102780	Mus musculus	sine oculis-related homeobox 1(Six1)
21339	MGI:109578	Mus musculus	TATA-box binding protein associated factor, RNA polymerase I, A(Taf1a)
20472	MGI:102778	Mus musculus	sine oculis-related homeobox 2(Six2)
19184	MGI:105047	Mus musculus	protease (prosome, macropain) 26S subunit, ATPase 5(Psmc5)
13180	MGI:94873	Mus musculus	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 1(Pcbd1)
268417	MGI:2679270	Mus musculus	zinc finger with KRAB and SCAN domains 17(Zkscan17)
225895	MGI:2444957	Mus musculus	TATA-box binding protein associated factor 6 like(Taf6l)
19822	MGI:1201691	Mus musculus	ring finger protein 4(Rnf4)
20481	MGI:98310	Mus musculus	ski sarcoma viral oncogene homolog (avian)(Ski)
12611	MGI:104982	Mus musculus	CCAAT/enhancer binding protein (C/EBP), gamma(Cebpg)
13194	MGI:1202384	Mus musculus	damage specific DNA binding protein 1(Ddb1)
58198	MGI:1889585	Mus musculus	sal-like 1 (Drosophila)(Sall1)
242705	MGI:1096341	Mus musculus	E2F transcription factor 2(E2f2)
272359	MGI:2442159	Mus musculus	interferon regulatory factor 2 binding protein 1(Irf2bp1)
13198	MGI:109247	Mus musculus	DNA-damage inducible transcript 3(Ddit3)
20482	MGI:106203	Mus musculus	SKI-like(Skil)
13197	MGI:107799	Mus musculus	growth arrest and DNA-damage-inducible 45 alpha(Gadd45a)
19821	MGI:1101759	Mus musculus	ring finger protein 2(Rnf2)
54131	MGI:1859179	Mus musculus	interferon regulatory factor 3(Irf3)
209446	MGI:98511	Mus musculus	transcription factor E3(Tfe3)
54135	MGI:1927471	Mus musculus	lipolysis stimulated lipoprotein receptor(Lsr)
209448	MGI:96192	Mus musculus	homeobox C10(Hoxc10)
387132	MGI:2446771	Mus musculus	synovial sarcoma, X member B, breakpoint 2(Ssxb2)
53314	MGI:1859147	Mus musculus	basic leucine zipper transcription factor, ATF-like(Batf)
21350	MGI:99540	Mus musculus	T cell acute lymphocytic leukemia 2(Tal2)
83796	MGI:1933621	Mus musculus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2(Smarcd2)
22344	MGI:1313291	Mus musculus	vascular endothelial zinc finger 1(Vezf1)
24113	MGI:1346018	Mus musculus	ventral anterior homeobox 2(Vax2)
83797	MGI:1933623	Mus musculus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1(Smarcd1)
22346	MGI:103223	Mus musculus	von Hippel-Lindau tumor suppressor(Vhl)
225631	MGI:1891408	Mus musculus	one cut domain, family member 2(Onecut2)
244219	MGI:2442943	Mus musculus	zinc finger protein 668(Zfp668)
243833	MGI:2389445	Mus musculus	zinc finger protein 128(Zfp128)
54123	MGI:1859212	Mus musculus	interferon regulatory factor 7(Irf7)
21357	MGI:103027	Mus musculus	TARBP2, RISC loading complex RNA binding subunit(Tarbp2)
14461	MGI:95662	Mus musculus	GATA binding protein 2(Gata2)
14462	MGI:95663	Mus musculus	GATA binding protein 3(Gata3)
14463	MGI:95664	Mus musculus	GATA binding protein 4(Gata4)
54196	MGI:1859158	Mus musculus	poly(A) binding protein, nuclear 1(Pabpn1)
14464	MGI:109497	Mus musculus	GATA binding protein 5(Gata5)
22337	MGI:103076	Mus musculus	vitamin D receptor(Vdr)
12848	MGI:1330276	Mus musculus	COP9 signalosome subunit 2(Cops2)
14460	MGI:95661	Mus musculus	GATA binding protein 1(Gata1)
21349	MGI:98480	Mus musculus	T cell acute lymphocytic leukemia 1(Tal1)
14465	MGI:107516	Mus musculus	GATA binding protein 6(Gata6)
21343	MGI:109129	Mus musculus	TATA-box binding protein associated factor 6(Taf6)
19763	MGI:1101770	Mus musculus	ring finger protein 1(Ring1)
21341	MGI:109576	Mus musculus	TATA-box binding protein associated factor, RNA polymerase I, C(Taf1c)
21340	MGI:109577	Mus musculus	TATA-box binding protein associated factor, RNA polymerase I, B(Taf1b)
227644	MGI:2443935	Mus musculus	small nuclear RNA activating complex, polypeptide 4(Snapc4)
22771	MGI:106683	Mus musculus	zinc finger protein of the cerebellum 1(Zic1)
22770	MGI:109271	Mus musculus	zinc fingers and homeoboxes 1(Zhx1)
22773	MGI:106676	Mus musculus	zinc finger protein of the cerebellum 3(Zic3)
22772	MGI:106679	Mus musculus	zinc finger protein of the cerebellum 2(Zic2)
74451	MGI:1921701	Mus musculus	phosphatidylglycerophosphate synthase 1(Pgs1)
22775	MGI:108070	Mus musculus	zinc finger protein interacting with K protein 1(Zik1)
